route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
A01,OP1,A01,,3,https://muoversiaroma.it/it/linea?numero=A01,,
A05,OP1,A05,,3,https://muoversiaroma.it/it/linea?numero=A05,,
A06,OP1,A06,,3,https://muoversiaroma.it/it/linea?numero=A06,,
A07,OP1,A07,,3,https://muoversiaroma.it/it/linea?numero=A07,,
A10,OP1,A10,,3,https://muoversiaroma.it/it/linea?numero=A10,,
A50,OP1,A50,,3,https://muoversiaroma.it/it/linea?numero=A50,,
A60,OP1,A60,,3,https://muoversiaroma.it/it/linea?numero=A60,,
A70,OP1,A70,,3,https://muoversiaroma.it/it/linea?numero=A70,,
C01,OP1,C01,,3,https://muoversiaroma.it/it/linea?numero=C01,,
C02,OP1,C02,,3,https://muoversiaroma.it/it/linea?numero=C02,,
C03,OP1,C03,,3,https://muoversiaroma.it/it/linea?numero=C03,,
C10,OP1,C10,,3,https://muoversiaroma.it/it/linea?numero=C10,,
C20,OP1,C20,,3,https://muoversiaroma.it/it/linea?numero=C20,,
C30,OP1,C30,,3,https://muoversiaroma.it/it/linea?numero=C30,,
G03,OP1,G03,,3,https://muoversiaroma.it/it/linea?numero=G03,,
G04,OP1,G04,,3,https://muoversiaroma.it/it/linea?numero=G04,,
G05,OP1,G05,,3,https://muoversiaroma.it/it/linea?numero=G05,,
G06,OP1,G06,,3,https://muoversiaroma.it/it/linea?numero=G06,,
G07,OP1,G07,,3,https://muoversiaroma.it/it/linea?numero=G07,,
G40,OP1,G40,,3,https://muoversiaroma.it/it/linea?numero=G40,,
G50,OP1,G50,,3,https://muoversiaroma.it/it/linea?numero=G50,,
G60,OP1,G60,,3,https://muoversiaroma.it/it/linea?numero=G60,,
G70,OP1,G70,,3,https://muoversiaroma.it/it/linea?numero=G70,,
L01,OP1,L01,,3,https://muoversiaroma.it/it/linea?numero=L01,,
L02,OP1,L02,,3,https://muoversiaroma.it/it/linea?numero=L02,,
L03,OP1,L03,,3,https://muoversiaroma.it/it/linea?numero=L03,,
L04,OP1,L04,,3,https://muoversiaroma.it/it/linea?numero=L04,,
L05,OP1,L05,,3,https://muoversiaroma.it/it/linea?numero=L05,,
L06,OP1,L06,,3,https://muoversiaroma.it/it/linea?numero=L06,,
L07,OP1,L07,,3,https://muoversiaroma.it/it/linea?numero=L07,,
L08,OP1,L08,,3,https://muoversiaroma.it/it/linea?numero=L08,,
L10,OP1,L10,,3,https://muoversiaroma.it/it/linea?numero=L10,,
L20,OP1,L20,,3,https://muoversiaroma.it/it/linea?numero=L20,,
L30,OP1,L30,,3,https://muoversiaroma.it/it/linea?numero=L30,,
L40,OP1,L40,,3,https://muoversiaroma.it/it/linea?numero=L40,,
L50,OP1,L50,,3,https://muoversiaroma.it/it/linea?numero=L50,,
L60,OP1,L60,,3,https://muoversiaroma.it/it/linea?numero=L60,,
L70,OP1,L70,,3,https://muoversiaroma.it/it/linea?numero=L70,,
L80,OP1,L80,,3,https://muoversiaroma.it/it/linea?numero=L80,,
M03,OP1,M03,,3,https://muoversiaroma.it/it/linea?numero=M03,,
M04,OP1,M04,,3,https://muoversiaroma.it/it/linea?numero=M04,,
M05,OP1,M05,,3,https://muoversiaroma.it/it/linea?numero=M05,,
